model	concept	roc_auc	threshold
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.6890448581019226	0.30000000000000004
gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.6370155630149527	0.30000000000000004
gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.6181975383989421	0.30000000000000004
gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.5541145356525278	0.30000000000000004
gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.5162750483165497	0.30000000000000004
gpt-4o-2024-08-06_zeroshot_description_count	overall	0.6673787000305159	0.30000000000000004
gpt-4o-2024-08-06_zeroshot_description_score	overall	0.6636659546333029	0.30000000000000004
baseline_gpt4-turbo	overall	0.6547655375851897	0.30000000000000004
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	overall	0.6884328358208955	0.4
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	0.6801786521935775	0.4
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.7045454545454545	0.4
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.6950474898236092	0.4
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.7109339665309815	0.4
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.6795002261420171	0.4
gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.6512890094979649	0.4
gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.6360809588421529	0.4
gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.5602668475802803	0.4
gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.527758932609679	0.4
gpt-4o-2024-08-06_zeroshot_description_count	overall	0.66661013116237	0.4
gpt-4o-2024-08-06_zeroshot_description_score	overall	0.6629353233830846	0.4
baseline_gpt4-turbo	overall	0.6508932609678879	0.4
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	overall	0.7014738781418608	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	0.698907751019871	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.7160152651664692	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.7061455454665087	0.5
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.6944992762205553	0.5
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.6709435452033163	0.5
gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.6808132649032768	0.5
gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.6667324647979997	0.5
gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.5515199368337939	0.5
gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.528095802079221	0.5
gpt-4o-2024-08-06_zeroshot_description_count	overall	0.6765363863666273	0.5
gpt-4o-2024-08-06_zeroshot_description_score	overall	0.6730490854059745	0.5
baseline_gpt4-turbo	overall	0.6471904197920779	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	overall	0.6866837936202098	0.6000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	0.6824020552344252	0.6000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.7405266538214514	0.6000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.7125883108542067	0.6000000000000001
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.6724470134874759	0.6000000000000001
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.6384071933204881	0.6000000000000001
gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.7042389210019268	0.6000000000000001
gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.6734104046242775	0.6000000000000001
gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.5589809462641833	0.6000000000000001
gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.5193748661956754	0.6000000000000001
gpt-4o-2024-08-06_zeroshot_description_count	overall	0.671590665810319	0.6000000000000001
gpt-4o-2024-08-06_zeroshot_description_score	overall	0.6642046670948405	0.6000000000000001
baseline_gpt4-turbo	overall	0.6061871119674588	0.6000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	overall	0.6693693693693694	0.7000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	0.6767567567567567	0.7000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.6781981981981982	0.7000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.672072072072072	0.7000000000000001
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.5956756756756756	0.7000000000000001
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.5596396396396397	0.7000000000000001
gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.7021621621621621	0.7000000000000001
gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.6733333333333332	0.7000000000000001
gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.5414414414414415	0.7000000000000001
gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.5167567567567568	0.7000000000000001
gpt-4o-2024-08-06_zeroshot_description_count	overall	0.7028828828828828	0.7000000000000001
gpt-4o-2024-08-06_zeroshot_description_score	overall	0.6990990990990988	0.7000000000000001
baseline_gpt4-turbo	overall	0.5133333333333334	0.7000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	overall	0.6529959278650378	0.8
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	0.6785922047702152	0.8
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.7248400232693425	0.8
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.742001163467132	0.8
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.5680628272251309	0.8
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.5491564863292613	0.8
gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.6884816753926701	0.8
gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.6695753344968005	0.8
gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.3717277486910994	0.8
gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.35747527632344384	0.8
gpt-4o-2024-08-06_zeroshot_description_count	overall	0.7478184991273996	0.8
gpt-4o-2024-08-06_zeroshot_description_score	overall	0.7533449680046538	0.8
baseline_gpt4-turbo	overall	0.4848749272833043	0.8
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	overall	0.6557788944723618	0.9
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	0.8015075376884422	0.9
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	0.8040201005025125	0.9
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	0.9321608040201006	0.9
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	0.44723618090452266	0.9
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	0.5678391959798995	0.9
gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	0.6457286432160804	0.9
gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	0.7512562814070352	0.9
gpt-4o-2024-08-06_zeroshot_baseline_count	overall	0.5301507537688442	0.9
gpt-4o-2024-08-06_zeroshot_baseline_score	overall	0.635678391959799	0.9
gpt-4o-2024-08-06_zeroshot_description_count	overall	0.8190954773869346	0.9
gpt-4o-2024-08-06_zeroshot_description_score	overall	0.8668341708542713	0.9
baseline_gpt4-turbo	overall	0.5301507537688442	0.9
