model	concept	r
gpt-4-turbo-2024-04-09_zeroshot_description_score	parasite	0.6228151168525718
gpt-4o-2024-08-06_zeroshot_baseline_count	parasite	0.37329732257260473
gpt-4o-2024-08-06_zeroshot_baseline_score	parasite	0.360749329623844
gpt-4o-2024-08-06_zeroshot_description_count	parasite	0.6011829460863712
gpt-4o-2024-08-06_zeroshot_description_score	parasite	0.5943681494858388
baseline_sbert-carrier	parasite	0.1469827815564116
baseline_count	parasite	0.34600668167554327
baseline_gpt4-turbo	parasite	0.2797124988083779
baseline_gpt4-turbo_sbert-carrier	parasite	0.3232730597102749
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	parasite	0.3758906043131231
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	parasite	0.16308660468289046
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	parasite	0.34827448108431547
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	parasite	0.5425304632196098
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	parasite	0.3768969029599942
gpt-4o-2024-08-06_zeroshot_description_score_sbert	parasite	0.519795877980503
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	overall	
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	overall	
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	overall	
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	overall	
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	overall	
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	overall	
gpt-4-turbo-2024-04-09_zeroshot_description_count	overall	
gpt-4-turbo-2024-04-09_zeroshot_description_score	overall	
gpt-4o-2024-08-06_zeroshot_baseline_count	overall	
gpt-4o-2024-08-06_zeroshot_baseline_score	overall	
gpt-4o-2024-08-06_zeroshot_description_count	overall	
gpt-4o-2024-08-06_zeroshot_description_score	overall	
baseline_sbert-carrier	overall	
baseline_count	overall	
baseline_gpt4-turbo	overall	
baseline_gpt4-turbo_sbert-carrier	overall	
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	overall	
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	overall	
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	overall	
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	overall	
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	overall	
gpt-4o-2024-08-06_zeroshot_description_score_sbert	overall	
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	water	0.6496247937192898
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	water	0.6814632652965833
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	water	0.06606553545000751
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	water	0.06606553545000751
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	water	0.6278670714770231
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	water	0.6595000833320477
gpt-4-turbo-2024-04-09_zeroshot_description_count	water	0.6509977818365115
gpt-4-turbo-2024-04-09_zeroshot_description_score	water	0.65613959323631
gpt-4o-2024-08-06_zeroshot_baseline_count	water	0.7056173517543227
gpt-4o-2024-08-06_zeroshot_baseline_score	water	0.743769310431636
gpt-4o-2024-08-06_zeroshot_description_count	water	0.7735515650674444
gpt-4o-2024-08-06_zeroshot_description_score	water	0.7670139931635916
baseline_sbert-carrier	water	0.2967311999532111
baseline_count	water	0.5734495739430119
baseline_gpt4-turbo	water	0.5729892522285114
baseline_gpt4-turbo_sbert-carrier	water	0.5638792051479223
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	water	0.6445454167384576
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	water	0.3083316316464507
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	water	0.6615147124861136
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	water	0.6285956797723736
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	water	0.7099616482861834
gpt-4o-2024-08-06_zeroshot_description_score_sbert	water	0.7333201283028234
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.3768903729790089
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.3791791954713093
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.07619486301131023
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.07613131933552202
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.3583573783085248
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.3326161903891967
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.5319000706963896
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.5293535995973702
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.42360488659039075
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.4236684263855149
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.5324856347982688
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.5290119855097607
baseline_sbert-carrier	all_documents	0.25975005232058723
baseline_count	all_documents	0.37263088029865876
baseline_gpt4-turbo	all_documents	0.29836502538149723
baseline_gpt4-turbo_sbert-carrier	all_documents	0.38383557151051406
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.41147526179401933
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.2730146591886792
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.39680298429691613
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.5038054511719096
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.4431555682713055
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.4804368550621877
