model	concept	roc_auc
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	pressure	0.555640554875561
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	pressure	0.5378926968584251
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	pressure	0.5043859649122807
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	pressure	0.5043859649122807
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	pressure	0.5688494492044064
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	pressure	0.5379946960424317
gpt-4-turbo-2024-04-09_zeroshot_description_count	pressure	0.6363729090167279
gpt-4-turbo-2024-04-09_zeroshot_description_score	pressure	0.6353019175846594
gpt-4o-2024-08-06_zeroshot_baseline_count	pressure	0.5751223990208078
gpt-4o-2024-08-06_zeroshot_baseline_score	pressure	0.5634944920440635
gpt-4o-2024-08-06_zeroshot_description_count	pressure	0.5953692370461037
gpt-4o-2024-08-06_zeroshot_description_score	pressure	0.594859241126071
baseline_sbert-carrier	pressure	0.5862913096695227
baseline_count	pressure	0.5859853121175032
baseline_gpt4-turbo	pressure	0.5527845777233782
baseline_gpt4-turbo_sbert-carrier	pressure	0.5964912280701754
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	pressure	0.5811913504691963
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	pressure	0.5878212974296206
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	pressure	0.580579355365157
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	pressure	0.6884944920440635
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	pressure	0.6059771521827825
gpt-4o-2024-08-06_zeroshot_description_score_sbert	pressure	0.6466748266013873
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	vermin	0.6120749080882352
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	vermin	0.6128216911764706
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	vermin	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	vermin	0.5
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	vermin	0.6148322610294118
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	vermin	0.6056410845588236
gpt-4-turbo-2024-04-09_zeroshot_description_count	vermin	0.5990923713235294
gpt-4-turbo-2024-04-09_zeroshot_description_score	vermin	0.5993795955882353
gpt-4o-2024-08-06_zeroshot_baseline_count	vermin	0.6085707720588236
gpt-4o-2024-08-06_zeroshot_baseline_score	vermin	0.6101217830882353
gpt-4o-2024-08-06_zeroshot_description_count	vermin	0.5474494485294118
gpt-4o-2024-08-06_zeroshot_description_score	vermin	0.5473345588235294
baseline_sbert-carrier	vermin	0.6973805147058824
baseline_count	vermin	0.5920266544117647
baseline_gpt4-turbo	vermin	0.6006433823529412
baseline_gpt4-turbo_sbert-carrier	vermin	0.6587775735294117
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	vermin	0.7459788602941175
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	vermin	0.6973805147058824
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	vermin	0.6708409926470589
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	vermin	0.7271369485294117
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	vermin	0.7401194852941176
gpt-4o-2024-08-06_zeroshot_description_score_sbert	vermin	0.7045036764705882
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	parasite	0.677150974025974
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	parasite	0.6974939123376623
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	parasite	0.5170454545454546
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	parasite	0.5170454545454546
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	parasite	0.648234577922078
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	parasite	0.6731939935064934
gpt-4-turbo-2024-04-09_zeroshot_description_count	parasite	0.7565949675324675
gpt-4-turbo-2024-04-09_zeroshot_description_score	parasite	0.7624289772727273
gpt-4o-2024-08-06_zeroshot_baseline_count	parasite	0.6585836038961038
gpt-4o-2024-08-06_zeroshot_baseline_score	parasite	0.6617288961038961
gpt-4o-2024-08-06_zeroshot_description_count	parasite	0.7412743506493505
gpt-4o-2024-08-06_zeroshot_description_score	parasite	0.7440645292207791
baseline_sbert-carrier	parasite	0.6007508116883117
baseline_count	parasite	0.6438210227272727
baseline_gpt4-turbo	parasite	0.6758319805194806
baseline_gpt4-turbo_sbert-carrier	parasite	0.7115462662337663
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	parasite	0.7265624999999999
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	parasite	0.6159699675324675
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	parasite	0.7018060064935066
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	parasite	0.8011363636363636
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	parasite	0.705661525974026
gpt-4o-2024-08-06_zeroshot_description_score_sbert	parasite	0.7946428571428572
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	water	0.7536340852130325
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	water	0.7855137844611529
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	water	0.5047619047619047
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	water	0.5047619047619047
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	water	0.7561403508771929
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	water	0.8088220551378446
gpt-4-turbo-2024-04-09_zeroshot_description_count	water	0.7792982456140352
gpt-4-turbo-2024-04-09_zeroshot_description_score	water	0.79468671679198
gpt-4o-2024-08-06_zeroshot_baseline_count	water	0.8021553884711778
gpt-4o-2024-08-06_zeroshot_baseline_score	water	0.8562907268170425
gpt-4o-2024-08-06_zeroshot_description_count	water	0.8538345864661654
gpt-4o-2024-08-06_zeroshot_description_score	water	0.8684210526315789
baseline_sbert-carrier	water	0.6687719298245614
baseline_count	water	0.7080200501253132
baseline_gpt4-turbo	water	0.7775939849624061
baseline_gpt4-turbo_sbert-carrier	water	0.794486215538847
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	water	0.8041102756892231
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	water	0.6755889724310777
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	water	0.8297744360902256
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	water	0.8191478696741855
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	water	0.8607518796992482
gpt-4o-2024-08-06_zeroshot_description_score_sbert	water	0.8899248120300751
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.6582742053257137
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.6619947188752144
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.5115869759526785
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.5116115202971502
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.6419593750191752
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.6423623113409188
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.7007083088742123
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.702952071031333
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.67548183616241
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.6809940868583444
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.6838238452397266
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.6842472351818634
baseline_sbert-carrier	all_documents	0.6276479768301388
baseline_count	all_documents	0.6334690771940087
baseline_gpt4-turbo	all_documents	0.6377428611751423
baseline_gpt4-turbo_sbert-carrier	all_documents	0.6859510217606067
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.704089292325188
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.6376907044431399
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.6829259313044707
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.7476902749171117
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.7148888038927331
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.731981894455228
