model	concept	roc_auc	threshold
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.672313328383303	0.2
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.6754593713461522	0.2
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.6816202387962892	0.2
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.6606210154389738	0.2
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.6609986686125406	0.2
baseline_sbert-carrier	all_documents	0.6180795589352315	0.2
baseline_count	all_documents	0.6509417859367932	0.2
baseline_gpt4-turbo	all_documents	0.658956781114781	0.2
baseline_gpt4-turbo_sbert-carrier	all_documents	0.6980993590564218	0.2
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.6921657236005496	0.2
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.625517406184124	0.2
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.6953725751252444	0.2
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.7174300808220464	0.2
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.7134892592877077	0.2
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.7087888641387374	0.2
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.6574298767813663	0.30000000000000004
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.661302345393073	0.30000000000000004
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.5118058072694284	0.30000000000000004
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.5118303813695556	0.30000000000000004
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.6424877999832077	0.30000000000000004
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.6426454837923571	0.30000000000000004
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.699895969642795	0.30000000000000004
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.702150643329463	0.30000000000000004
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.6763580774043197	0.30000000000000004
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.6814582271015464	0.30000000000000004
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.6837620489884686	0.30000000000000004
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.6842320286534007	0.30000000000000004
baseline_sbert-carrier	all_documents	0.6249275576006668	0.30000000000000004
baseline_count	all_documents	0.6332151728685551	0.30000000000000004
baseline_gpt4-turbo	all_documents	0.63741836791114	0.30000000000000004
baseline_gpt4-turbo_sbert-carrier	all_documents	0.6836391784878327	0.30000000000000004
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.7023728341514461	0.30000000000000004
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.6352486796540786	0.30000000000000004
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.6819619961541532	0.30000000000000004
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.7456723985755214	0.30000000000000004
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.7145329180310412	0.30000000000000004
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.7306883410229787	0.30000000000000004
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.6602625433701698	0.4
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.6646653781365113	0.4
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.5107909049462863	0.4
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.5107673603753433	0.4
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.6393196475163688	0.4
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.6395347592781663	0.4
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.7178525638967549	0.4
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.7202337761853085	0.4
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.6849233410174251	0.4
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.6910567017480774	0.4
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.6986883533569207	0.4
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.6987333020832664	0.4
baseline_sbert-carrier	all_documents	0.6246107119236128	0.4
baseline_count	all_documents	0.6271802807797104	0.4
baseline_gpt4-turbo	all_documents	0.6309120952741765	0.4
baseline_gpt4-turbo_sbert-carrier	all_documents	0.6789355285435115	0.4
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.7022660579324871	0.4
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.6341484035710692	0.4
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.678884158570545	0.4
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.7596623708526774	0.4
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.7217192245702581	0.4
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.7420446105406904	0.4
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.6663411389722225	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.6731292110754359	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.5130960494052679	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.5130562366656596	0.5
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.6425366335752543	0.5
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.650068267138799	0.5
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.7449759835503127	0.5
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.7475392214033287	0.5
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.6944922587640721	0.5
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.7033306869571123	0.5
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.7258483040943889	0.5
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.7255883503240054	0.5
baseline_sbert-carrier	all_documents	0.6376654277878872	0.5
baseline_count	all_documents	0.6182625720434942	0.5
baseline_gpt4-turbo	all_documents	0.6242696118726273	0.5
baseline_gpt4-turbo_sbert-carrier	all_documents	0.6742100098595079	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.7125262588436976	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.651108082220333	0.5
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.6887580532975487	0.5
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.7891716374043031	0.5
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.7318202150356324	0.5
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.7706165588209808	0.5
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.6670528484827758	0.6000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.680116054048354	0.6000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.5103157570731124	0.6000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.5102958067209886	0.6000000000000001
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.6297941408665864	0.6000000000000001
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.6418911793793161	0.6000000000000001
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.7775136731163305	0.6000000000000001
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.7806929042297596	0.6000000000000001
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.6974172844150699	0.6000000000000001
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.7062054145255663	0.6000000000000001
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.7512846601742522	0.6000000000000001
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.7508956283078397	0.6000000000000001
baseline_sbert-carrier	all_documents	0.6496376161039242	0.6000000000000001
baseline_count	all_documents	0.6071333909043495	0.6000000000000001
baseline_gpt4-turbo	all_documents	0.6191121523294886	0.6000000000000001
baseline_gpt4-turbo_sbert-carrier	all_documents	0.6708533905623435	0.6000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.7191930937581047	0.6000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.6563238341156721	0.6000000000000001
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.6820113375001068	0.6000000000000001
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.8165536621721373	0.6000000000000001
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.7374248655488768	0.6000000000000001
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.7960275998871381	0.6000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.698367995378394	0.7000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.7166959039607727	0.7000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.5039963506220851	0.7000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.5039311831593186	0.7000000000000001
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.6524073213002494	0.7000000000000001
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.6734159022699413	0.7000000000000001
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.7993176790520071	0.7000000000000001
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.8023787885192544	0.7000000000000001
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.7144995843372646	0.7000000000000001
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.7260800185991462	0.7000000000000001
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.7930439897986502	0.7000000000000001
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.793508968451903	0.7000000000000001
baseline_sbert-carrier	all_documents	0.6779705795324852	0.7000000000000001
baseline_count	all_documents	0.6111439883896239	0.7000000000000001
baseline_gpt4-turbo	all_documents	0.6317721322793817	0.7000000000000001
baseline_gpt4-turbo_sbert-carrier	all_documents	0.6903523974581166	0.7000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.7604690648292964	0.7000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.6758429499372984	0.7000000000000001
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.7181665750799622	0.7000000000000001
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.8438023981626299	0.7000000000000001
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.7629489509799777	0.7000000000000001
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.846676811655465	0.7000000000000001
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.7153498621062406	0.8
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.7282130169861091	0.8
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.4995311150223355	0.8
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.49947106078874304	0.8
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.6668375902545838	0.8
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.6786474862683686	0.8
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.8277205722706507	0.8
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.8279607892050206	0.8
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.7487538746529557	0.8
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.7528537309847507	0.8
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.8336867294002431	0.8
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.8332247737572239	0.8
baseline_sbert-carrier	all_documents	0.6750927375953361	0.8
baseline_count	all_documents	0.6213187909696911	0.8
baseline_gpt4-turbo	all_documents	0.6318860263037543	0.8
baseline_gpt4-turbo_sbert-carrier	all_documents	0.6944671572635597	0.8
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.7697151119549501	0.8
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.6682142180707809	0.8
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.725704597844515	0.8
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.8589464639605305	0.8
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.786063722161398	0.8
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.8688969885111631	0.8
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count	all_documents	0.735083873853724	0.9
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	all_documents	0.7481995079400582	0.9
Meta-Llama-3.1-70B-Instruct_zeroshot_description_count	all_documents	0.49675240438380674	0.9
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	all_documents	0.49669425184522475	0.9
gpt-4-turbo-2024-04-09_zeroshot_baseline_count	all_documents	0.7011630507716395	0.9
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	all_documents	0.724312234399463	0.9
gpt-4-turbo-2024-04-09_zeroshot_description_count	all_documents	0.8442540818608812	0.9
gpt-4-turbo-2024-04-09_zeroshot_description_score	all_documents	0.8448669201520912	0.9
gpt-4o-2024-08-06_zeroshot_baseline_count	all_documents	0.7748110042496086	0.9
gpt-4o-2024-08-06_zeroshot_baseline_score	all_documents	0.7821963766495191	0.9
gpt-4o-2024-08-06_zeroshot_description_count	all_documents	0.8500469693580854	0.9
gpt-4o-2024-08-06_zeroshot_description_score	all_documents	0.8491478416461642	0.9
baseline_sbert-carrier	all_documents	0.6474972042048758	0.9
baseline_count	all_documents	0.6217535227018565	0.9
baseline_gpt4-turbo	all_documents	0.6459897114739432	0.9
baseline_gpt4-turbo_sbert-carrier	all_documents	0.6843569671214494	0.9
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	all_documents	0.7808812346231269	0.9
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	all_documents	0.6394989935137554	0.9
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	all_documents	0.7521807201968239	0.9
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	all_documents	0.8586803847014093	0.9
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	all_documents	0.7945605010064862	0.9
gpt-4o-2024-08-06_zeroshot_description_score_sbert	all_documents	0.8657749944084098	0.9
