"term"	"estimate"	"std.error"	"statistic"	"p.value"	"outcome"	"p.corrected"
"31"	"year:month"	5.056234663469e-07	2.16977308045577e-07	2.33030573980894	0.0197904923019957	"log_favorites"	0.0197904923019957
"32"	"score_animal:ideology"	0.00505906930193387	0.00391825709504038	1.29115297419802	0.196651384153895	"log_favorites"	0.196651384153895
"33"	"score_commodity:ideology"	0.00803359375928833	0.00341721704186966	2.35091703595535	0.0187276915417578	"log_favorites"	0.0187276915417578
"34"	"score_parasite:ideology"	-0.031275292683643	0.00462463960968424	-6.76275241386396	1.35579303229463e-11	"log_favorites"	1.35579303229463e-11
"35"	"score_pressure:ideology"	0.00493065511219551	0.00369967521645218	1.33272647562933	0.182622340756273	"log_favorites"	0.182622340756273
"36"	"score_vermin:ideology"	0.00568518132390426	0.00471247275359228	1.20641150011329	0.227659577604005	"log_favorites"	0.227659577604005
"37"	"score_war:ideology"	0.0139159343026312	0.0034707448233847	4.00949508268955	6.08597481373588e-05	"log_favorites"	6.08597481373588e-05
"38"	"score_water:ideology"	0.0156119852504288	0.00378682546887597	4.12271053386119	3.74515533579443e-05	"log_favorites"	3.74515533579443e-05
"39"	"ideology:magnitude"	-0.0878956402351606	0.00404337781317069	-21.7381714735769	1.0282836453749e-104	"log_favorites"	1.0282836453749e-104
"40"	"(Intercept)"	-0.770061019316513	0.0173380378252829	-44.4145425841433	0	"log_retweets"	0
"41"	"score_animal"	0.00567538241724304	0.00256788619427091	2.21013782850078	0.0270961622288168	"log_retweets"	0.216769297830534
"42"	"score_commodity"	-0.00259846370833583	0.00235222475241994	-1.1046834302983	0.269297450215086	"log_retweets"	0.807892350645257
"43"	"score_parasite"	0.0131736267243553	0.00323134166581663	4.0768287871614	4.56628968546523e-05	"log_retweets"	0.000502291865401175
"44"	"score_pressure"	0.00417095984663262	0.00259598828535144	1.60669440234703	0.10812221156329	"log_retweets"	0.540611057816451
"45"	"score_vermin"	0.011916333299289	0.00311088251653044	3.830531444363	0.000127886293995206	"log_retweets"	0.00127886293995206
"46"	"score_war"	-0.000796288615364054	0.00238517745328914	-0.333848793625807	0.738493836690187	"log_retweets"	0.807892350645257
"47"	"score_water"	-0.00845161710603187	0.00267258029135908	-3.16234357237364	0.00156516482049511	"log_retweets"	0.0140864833844559
"48"	"has_hashtag"	-0.0208524808071404	0.00398754492246449	-5.22940335785673	1.7014321167063e-07	"log_retweets"	1.7014321167063e-07
"49"	"has_mention"	-0.0924519306814805	0.00343720588438932	-26.897408473949	3.26810939629547e-159	"log_retweets"	3.26810939629547e-159
"50"	"has_url"	-0.165181181656352	0.00419668523523067	-39.3599167909176	0	"log_retweets"	0
"51"	"is_quote_status"	-0.0744634532845677	0.00380959871006636	-19.5462721802714	4.86387577689789e-85	"log_retweets"	4.86387577689789e-85
"52"	"is_reply"	-0.135824986241074	0.00365193431434102	-37.1926148035286	2.96774282146488e-302	"log_retweets"	2.96774282146488e-302
"53"	"is_verified"	0.610125345789884	0.00686795070233533	88.8365936555749	0	"log_retweets"	0
"54"	"log_chars"	0.23455978842882	0.00342550124699521	68.4745885392895	0	"log_retweets"	0
"55"	"log_followers"	0.243117062104236	0.00117664430098496	206.618994288015	0	"log_retweets"	0
"56"	"log_following"	-0.0873934407284097	0.00129783763677223	-67.3377302770787	0	"log_retweets"	0
"57"	"log_statuses"	-0.100048913047238	0.000937807137276618	-106.683889544474	0	"log_retweets"	0
"58"	"Crime.and.Punishment"	0.0288147010084055	0.00252658936354458	11.4045841497492	4.00948945360188e-30	"log_retweets"	4.00948945360188e-30
"59"	"Cultural.Identity"	0.00512635172179521	0.00344746913430633	1.48698988216662	0.137018271515786	"log_retweets"	0.137018271515786
"60"	"Economic"	0.0192087448516263	0.0027955876480636	6.87109376267687	6.38040498265028e-12	"log_retweets"	6.38040498265028e-12
"61"	"Fairness.and.Equality"	0.0348237022947396	0.00345311738209633	10.0847143150398	6.49795320481761e-24	"log_retweets"	6.49795320481761e-24
"62"	"Health.and.Safety"	0.0183468536778506	0.00292052621814968	6.28203697122581	3.34507115235378e-10	"log_retweets"	3.34507115235378e-10
"63"	"Legality..Constitutionality..Jurisdiction"	0.0220240311935414	0.00327291396142225	6.72918122906317	1.70848818566311e-11	"log_retweets"	1.70848818566311e-11
"64"	"Morality.and.Ethics"	0.0409776278929214	0.00385161483262424	10.6390772893046	1.97665216439298e-26	"log_retweets"	1.97665216439298e-26
"65"	"Policy.Prescription.and.Evaluation"	0.011031660957585	0.00260555873790035	4.2338945567102	2.29729851586426e-05	"log_retweets"	2.29729851586426e-05
"66"	"Political.Factors.and.Implications"	0.0273775076513819	0.00238684403980099	11.4701703147997	1.88349191614781e-30	"log_retweets"	1.88349191614781e-30
"67"	"Security.and.Defense"	0.0104288717715874	0.00287053586382339	3.63307489135384	0.000280098701790231	"log_retweets"	0.000280098701790231
"68"	"ideology"	-0.0282662663021431	0.00241073731046585	-11.7251540345891	9.58704841341378e-32	"log_retweets"	9.58704841341378e-32
"69"	"magnitude"	0.0200066735237873	0.0030344425233638	6.59319574180274	4.30990319167172e-11	"log_retweets"	4.30990319167172e-11
"70"	"year:month"	1.5690872559051e-08	1.74315963700982e-07	0.090013973625312	0.928276155633361	"log_retweets"	0.928276155633361
"71"	"score_animal:ideology"	-0.00626895195580876	0.00314786263919684	-1.99149476147671	0.0464271995198084	"log_retweets"	0.0464271995198084
"72"	"score_commodity:ideology"	-9.03041007693811e-05	0.00274533538642579	-0.0328936497944428	0.973759413200983	"log_retweets"	0.973759413200983
"73"	"score_parasite:ideology"	-0.0112504446001224	0.00371535861327263	-3.02809116727836	0.00246119505376706	"log_retweets"	0.00246119505376706
"74"	"score_pressure:ideology"	-0.00385169661677599	0.00297225759018559	-1.2958825067835	0.195016714701813	"log_retweets"	0.195016714701813
"75"	"score_vermin:ideology"	-0.00353687796933083	0.0037859223015363	-0.93421831924432	0.350191851878919	"log_retweets"	0.350191851878919
"76"	"score_war:ideology"	0.00334936242358253	0.00278833871660633	1.20120357101343	0.229672955850117	"log_retweets"	0.229672955850117
"77"	"score_water:ideology"	0.0144824333930882	0.00304227265477864	4.76039955535871	1.93277487004068e-06	"log_retweets"	1.93277487004068e-06
"78"	"ideology:magnitude"	-0.0166985184430108	0.00324838254497087	-5.14056402281294	2.74043468888885e-07	"log_retweets"	2.74043468888885e-07
